               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 158,            0.022819,            0.028176,           0.0026555,             0.90691,             0.68173,             0.79457,             0.49989,            0.022753,            0.028114,           0.0030621,           0.0022285,           0.0022285,           0.0022285
                 159,            0.022207,            0.028608,           0.0023386,             0.87728,             0.71261,             0.78488,             0.48122,             0.02287,            0.028631,           0.0030409,            0.002179,            0.002179,            0.002179
                 160,            0.022265,            0.027204,           0.0023087,             0.85917,             0.77169,             0.80612,              0.4946,            0.022825,            0.028496,           0.0029754,           0.0021295,           0.0021295,           0.0021295
                 161,            0.022338,            0.028069,           0.0023496,             0.73797,             0.80116,             0.78712,             0.48136,            0.023017,            0.028261,           0.0028177,             0.00208,             0.00208,             0.00208
                 162,            0.022647,            0.028258,           0.0022127,             0.88898,             0.70972,              0.7953,             0.49842,            0.022922,            0.028101,           0.0025582,           0.0020305,           0.0020305,           0.0020305
                 163,            0.022091,            0.027407,           0.0023432,             0.82177,             0.77699,             0.78914,             0.49224,            0.022624,             0.02855,            0.002823,            0.001981,            0.001981,            0.001981
                 164,            0.022532,             0.02798,           0.0021408,             0.78437,             0.78681,             0.78077,             0.49309,            0.022515,            0.028493,           0.0025892,           0.0019315,           0.0019315,           0.0019315
                 165,            0.022018,            0.027467,           0.0023462,             0.76642,             0.76972,             0.78097,              0.5123,            0.022374,            0.028048,           0.0030502,            0.001882,            0.001882,            0.001882
                 166,            0.022188,            0.027701,           0.0025585,             0.77699,             0.78612,             0.78676,              0.5068,            0.022612,            0.028371,           0.0027247,           0.0018325,           0.0018325,           0.0018325
                 167,            0.022508,            0.027636,           0.0021051,             0.78067,             0.75187,             0.77312,             0.48502,            0.022742,            0.028378,           0.0029346,            0.001783,            0.001783,            0.001783
                 168,            0.022119,            0.027719,           0.0023513,             0.86792,             0.67626,             0.77211,             0.48415,            0.022516,            0.028394,           0.0029141,           0.0017335,           0.0017335,           0.0017335
                 169,             0.02199,            0.026883,           0.0021247,             0.77251,             0.73793,             0.75947,             0.46456,            0.022271,            0.028408,           0.0026372,            0.001684,            0.001684,            0.001684
                 170,            0.022121,            0.026485,           0.0023735,             0.80176,             0.71897,             0.77962,             0.48887,            0.022592,            0.028199,           0.0027144,           0.0016345,           0.0016345,           0.0016345
                 171,            0.022082,            0.027079,           0.0019861,             0.81231,             0.71514,             0.77917,             0.50259,            0.022575,            0.028796,           0.0030409,            0.001585,            0.001585,            0.001585
                 172,            0.022228,            0.026682,           0.0023662,              0.8296,             0.77016,             0.79167,             0.50583,            0.022294,            0.028533,           0.0025897,           0.0015355,           0.0015355,           0.0015355
                 173,            0.022079,            0.025149,           0.0022021,             0.83058,             0.76082,              0.7893,             0.50761,            0.022227,            0.028283,           0.0024589,            0.001486,            0.001486,            0.001486
                 174,            0.022425,            0.027774,           0.0022398,             0.81176,             0.76098,             0.80017,             0.51292,            0.022376,            0.028358,           0.0023183,           0.0014365,           0.0014365,           0.0014365
                 175,            0.021735,            0.026904,           0.0020383,             0.79166,             0.77316,             0.79618,             0.51465,            0.022274,            0.028463,           0.0025427,            0.001387,            0.001387,            0.001387
                 176,            0.021572,            0.026608,           0.0022894,             0.90922,             0.68843,             0.78676,             0.48168,            0.022309,            0.028212,           0.0025901,           0.0013375,           0.0013375,           0.0013375
                 177,            0.021688,            0.026811,            0.002002,             0.80038,             0.76322,             0.78902,             0.49867,            0.022585,            0.028778,           0.0025605,            0.001288,            0.001288,            0.001288
                 178,            0.021441,            0.025968,           0.0021796,             0.87156,             0.72331,             0.79968,             0.51488,            0.022153,             0.02878,            0.002484,           0.0012385,           0.0012385,           0.0012385
                 179,            0.021149,             0.02762,           0.0019787,             0.83716,             0.77436,             0.80867,             0.50991,            0.022259,             0.02853,           0.0025987,            0.001189,            0.001189,            0.001189
                 180,             0.02099,            0.025725,           0.0018354,             0.89477,              0.6875,             0.79602,             0.51084,            0.022283,            0.028549,           0.0026299,           0.0011395,           0.0011395,           0.0011395
                 181,            0.021641,            0.027144,           0.0021098,             0.96433,             0.69772,              0.8044,             0.50079,            0.022527,            0.028632,           0.0025269,             0.00109,             0.00109,             0.00109
                 182,            0.021224,            0.027174,           0.0016941,             0.79481,              0.7742,             0.78884,             0.49228,             0.02232,            0.028765,           0.0026055,           0.0010405,           0.0010405,           0.0010405
                 183,            0.021003,            0.026226,           0.0020107,             0.82821,             0.74794,             0.79116,             0.50095,             0.02262,            0.029022,           0.0028988,            0.000991,            0.000991,            0.000991
                 184,            0.021098,            0.026493,           0.0019207,             0.92613,             0.67597,             0.80085,             0.49745,            0.022418,            0.028885,           0.0028956,           0.0009415,           0.0009415,           0.0009415
                 185,            0.021511,            0.026175,           0.0019326,              0.8993,             0.70116,             0.80009,             0.49755,            0.022287,            0.028686,           0.0025892,            0.000892,            0.000892,            0.000892
                 186,            0.020865,            0.025447,           0.0017766,             0.93343,             0.69638,             0.80542,             0.49851,            0.022357,            0.028547,           0.0025989,           0.0008425,           0.0008425,           0.0008425
                 187,            0.020931,            0.025687,           0.0016494,             0.92774,             0.69265,             0.79573,             0.49709,            0.022727,            0.028664,           0.0027909,            0.000793,            0.000793,            0.000793
                 188,            0.020868,             0.02548,           0.0019597,              0.9039,             0.69647,             0.79757,             0.49834,            0.022706,            0.028845,           0.0028284,           0.0007435,           0.0007435,           0.0007435
                 189,            0.021099,            0.027784,           0.0019653,             0.77533,             0.78182,             0.79325,             0.50299,            0.022391,            0.028566,           0.0029154,            0.000694,            0.000694,            0.000694
                 190,            0.020766,             0.02634,           0.0023162,             0.91917,             0.68547,             0.80275,              0.5041,            0.022394,            0.028456,           0.0026781,           0.0006445,           0.0006445,           0.0006445
                 191,            0.021071,            0.026115,           0.0016651,             0.92868,             0.69651,             0.80389,             0.50709,            0.022382,            0.028663,            0.002553,            0.000595,            0.000595,            0.000595
                 192,            0.020556,            0.026162,           0.0018109,             0.81168,             0.78354,             0.80249,              0.5043,            0.022424,            0.028456,           0.0025603,           0.0005455,           0.0005455,           0.0005455
                 193,            0.020342,            0.025374,           0.0017199,              0.8786,             0.70473,             0.80101,             0.49654,              0.0223,            0.028533,           0.0025799,            0.000496,            0.000496,            0.000496
                 194,            0.020513,            0.024975,           0.0018372,             0.92749,             0.67434,             0.79624,             0.49996,            0.022319,            0.028748,           0.0026628,           0.0004465,           0.0004465,           0.0004465
                 195,             0.02055,            0.025633,           0.0016358,             0.92765,             0.67154,             0.79581,             0.50653,            0.022354,            0.028822,           0.0027927,            0.000397,            0.000397,            0.000397
                 196,            0.020713,            0.025198,           0.0017584,             0.92264,             0.66327,             0.79059,             0.50548,            0.022333,            0.029056,           0.0028122,           0.0003475,           0.0003475,           0.0003475
                 197,            0.020541,            0.023796,           0.0016785,             0.91895,             0.67077,             0.79522,             0.50654,            0.022321,            0.028881,           0.0026676,            0.000298,            0.000298,            0.000298
                 198,            0.020915,            0.026412,           0.0018084,             0.92054,             0.67326,             0.79732,             0.50389,             0.02225,            0.028715,           0.0025497,           0.0002485,           0.0002485,           0.0002485
                 199,            0.020292,            0.025561,           0.0015839,             0.85427,             0.71793,             0.79891,             0.50665,            0.022191,            0.028679,           0.0026155,            0.000199,            0.000199,            0.000199
