               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.034994,            0.039283,           0.0082509,             0.55581,             0.54192,              0.5506,             0.31383,            0.028098,            0.032364,           0.0067079,           0.0082675,           0.0082675,           0.0082675
                  37,            0.036144,            0.036645,           0.0073998,             0.46471,             0.63827,             0.60878,             0.35531,            0.028521,            0.032131,           0.0060905,            0.008218,            0.008218,            0.008218
                  38,            0.034295,            0.036998,           0.0073625,             0.87013,             0.43342,             0.57996,             0.34216,            0.027181,            0.031644,            0.006203,           0.0081685,           0.0081685,           0.0081685
                  39,            0.034599,            0.038252,           0.0078545,             0.45116,             0.59848,             0.56299,             0.33173,            0.027102,            0.031338,           0.0064702,            0.008119,            0.008119,            0.008119
                  40,            0.035099,            0.037201,           0.0067147,             0.67792,             0.52953,             0.57544,              0.3237,            0.028211,            0.031939,           0.0066722,           0.0080695,           0.0080695,           0.0080695
                  41,            0.033677,            0.036991,           0.0067086,             0.49343,             0.60604,             0.59025,             0.33549,            0.029234,            0.031066,           0.0056727,             0.00802,             0.00802,             0.00802
                  42,            0.032893,            0.037543,           0.0064414,             0.45118,             0.64214,             0.58739,             0.32213,            0.027873,            0.030961,           0.0056469,           0.0079705,           0.0079705,           0.0079705
                  43,            0.033773,            0.036792,           0.0065748,             0.42862,             0.64193,             0.58534,             0.34288,            0.027497,            0.031285,           0.0059642,            0.007921,            0.007921,            0.007921
                  44,            0.032959,            0.036939,           0.0066421,             0.68328,             0.53842,             0.60897,             0.35445,            0.027035,            0.031186,           0.0061092,           0.0078715,           0.0078715,           0.0078715
                  45,             0.03374,            0.036462,           0.0070978,             0.55511,             0.61008,             0.60018,              0.3679,            0.027564,            0.031501,           0.0058508,            0.007822,            0.007822,            0.007822
                  46,            0.032882,            0.037179,           0.0068609,             0.63035,             0.60436,             0.61698,             0.33935,            0.028469,            0.031083,           0.0059359,           0.0077725,           0.0077725,           0.0077725
                  47,            0.032229,            0.037641,           0.0059612,             0.53032,             0.63133,             0.62661,             0.36808,            0.027356,            0.031254,           0.0053785,            0.007723,            0.007723,            0.007723
                  48,            0.031961,            0.036298,           0.0064815,             0.53188,             0.62229,             0.62068,             0.36323,            0.026922,            0.031056,           0.0059867,           0.0076735,           0.0076735,           0.0076735
                  49,            0.032683,            0.036471,           0.0062338,             0.57792,             0.63657,             0.62919,             0.36801,             0.02733,            0.030602,           0.0064047,            0.007624,            0.007624,            0.007624
                  50,            0.031492,            0.036196,           0.0064819,             0.46392,             0.61902,              0.5806,             0.34437,            0.026796,            0.030674,           0.0059979,           0.0075745,           0.0075745,           0.0075745
